web-scraper-order,web-scraper-start-url,price
"1678098439-369","https://www.bikedekho.com/ola-electric/s1-air/specifications","Rs.84,999*"
"1678098441-370","https://www.bikedekho.com/jitendra-ev/jet-320/specifications","Rs.73,480 - 77,060*"
"1678098444-371","https://www.bikedekho.com/trinity-motors/rafiki-zl3/specifications","Rs.84,855 - 91,111*"
"1678098447-372","https://www.bikedekho.com/gemopai/miso/specifications","Rs.44,000*"
"1678098449-373","https://www.bikedekho.com/tunwal/storm-zx-advance-1/specifications","Rs.1.15 Lakh*"
"1678098452-374","https://www.bikedekho.com/eveium/cosmo/specifications","Rs.1.44 Lakh*"
"1678098454-375","https://www.bikedekho.com/bgauss/b8/specifications","Rs.84,699 - 89,991*"
"1678098457-376","https://www.bikedekho.com/eveium/comet/specifications","Rs.1.92 Lakh*"
"1678098460-377","https://www.bikedekho.com/trinity-motors/yaarii/specifications","Rs.69,999 - 76,999*"
"1678098462-378","https://www.bikedekho.com/ozotec/flio/specifications","Rs.1.14 - 1.33 Lakh*"
"1678098465-379","https://www.bikedekho.com/joy-e/monster-bike/specifications","Rs.1.10 Lakh*"
"1678098467-380","https://www.bikedekho.com/srivaru-motors/prana/specifications","Rs.2.25 - 3 Lakh*"
"1678098470-381","https://www.bikedekho.com/hayasa/ojas/specifications","Rs.80,550*"
"1678098472-382","https://www.bikedekho.com/tunwal/strom-zx/specifications","Rs.90,000*"
"1678098475-383","https://www.bikedekho.com/fidato-evtech/21/specifications","Rs.89,199*"
"1678098478-384","https://www.bikedekho.com/hayasa/ira/specifications","Rs.76,750*"
"1678098480-385","https://www.bikedekho.com/tunwal/sport-63-48v/specifications","Rs.49,990*"
"1678098483-386","https://www.bikedekho.com/etel-ev/easy-plus/specifications","Rs.46,999*"
"1678098485-387","https://www.bikedekho.com/hayasa/daksha/specifications","Rs.74,050*"
"1678098488-388","https://www.bikedekho.com/trinity-motors/friend/specifications","Rs.1.04 - 1.13 Lakh*"
"1678098491-389","https://www.bikedekho.com/tunwal/mini-lithino-48v/specifications","Rs.54,990*"
"1678098493-390","https://www.bikedekho.com/gt-force/one-plus/specifications","Rs.68,982 - 86,970*"
"1678098496-391","https://www.bikedekho.com/fidato-evtech/future-2020/specifications","Rs.70,300*"
"1678098498-392","https://www.bikedekho.com/gt-force/flying/specifications","Rs.54,338 - 77,763*"
"1678098501-393","https://www.bikedekho.com/birla-e-bike/a14/specifications","Rs.1.60 - 2.28 Lakh*"
"1678098504-394","https://www.bikedekho.com/komaki/dt-3000/specifications","Rs.1.21 Lakh*"
"1678098506-395","https://www.bikedekho.com/gt-force/prime/specifications","Rs.57,417 - 77,763*"
"1678098509-396","https://www.bikedekho.com/amomobility/inspirer/specifications","Rs.57,626 - 86,626*"
"1678098512-397","https://www.bikedekho.com/nij-automotive/flion/specifications","Rs.57,788 - 76,763*"
"1678098514-398","https://www.bikedekho.com/kabira-mobility/kollegio-plus/specifications","Rs.65,490*"
"1678098517-399","https://www.bikedekho.com/aeroride/espark/specifications","Rs.69,445 - 1.12 Lakh*"
"1678098520-400","https://www.bikedekho.com/amomobility/jaunty-plus/specifications","Rs.74,460*"
"1678098522-401","https://www.bikedekho.com/liions-elektrik-solutions/spock-electric-scooter/specifications","Rs.65,000*"
"1678098525-402","https://www.bikedekho.com/gt-force/gt-soul/specifications","Rs.52,861 - 75,350*"
"1678098527-403","https://www.bikedekho.com/amomobility/jaunty/specifications","Rs.65,064 - 90,064*"
"1678098530-404","https://www.bikedekho.com/rowwet/trono/specifications","Rs.1.81 Lakh*"
"1678098533-405","https://www.bikedekho.com/komaki/xgt-classic/specifications","Rs.1.11 Lakh*"
"1678098535-406","https://www.bikedekho.com/thunderboltev/thunderbolt-ez/specifications","Rs.57,999*"
"1678098538-407","https://www.bikedekho.com/kabira-mobility/kollegio/specifications","Rs.45,990*"
"1678098541-408","https://www.bikedekho.com/raftaar/bumblebee/specifications","Rs.88,000*"
"1678098543-409","https://www.bikedekho.com/zelio/eeva/specifications","Rs.54,575 - 57,475*"
"1678098546-410","https://www.bikedekho.com/poise-scooters/grace/specifications","Rs.87,542 - 93,465*"
"1678098549-411","https://www.bikedekho.com/odysse-electric/racer/specifications","Rs.85,000*"
"1678098551-412","https://www.bikedekho.com/nds-eco-motors/lio-plus/specifications","Rs.1.24 Lakh*"
"1678098554-413","https://www.bikedekho.com/numeros-motors/diplos/specifications","Rs.60,265 - 1.28 Lakh*"
"1678098556-414","https://www.bikedekho.com/ivoomi/s1/specifications","Rs.84,999*"
"1678098559-415","https://www.bikedekho.com/rowwet/eleq/specifications","Rs.1.16 Lakh*"
"1678098561-416","https://www.bikedekho.com/velev-motors/vio/specifications","Rs.52,000*"
"1678098564-417","https://www.bikedekho.com/komaki/ly/specifications","Rs.95,866*"
"1678098567-418","https://www.bikedekho.com/merico-electric/fashia/specifications","Rs.61,311*"
"1678098569-419","https://www.bikedekho.com/benling-india/aura/specifications","Rs.94,296*"
"1678098572-420","https://www.bikedekho.com/kabira-mobility/aetos-100/specifications","Rs.65,490*"
"1678098574-421","https://www.bikedekho.com/thunderboltev/thunderbolt-bee-plus/specifications","Rs.86,999*"
"1678098577-422","https://www.bikedekho.com/avon/e-mate/specifications","Rs.45,000*"
"1678098579-423","https://www.bikedekho.com/eveium/czar/specifications","Rs.2.16 Lakh*"
"1678098582-424","https://www.bikedekho.com/deltic/trento/specifications","Rs.1.27 Lakh*"
"1678098585-425","https://www.bikedekho.com/stella/buzz/specifications","Rs.95,000*"
"1678098587-426","https://www.bikedekho.com/raftaar/galaxy/specifications","Rs.51,900*"
"1678098590-427","https://www.bikedekho.com/tunwal/elektrika-60/specifications","Rs.65,040*"
"1678098592-428","https://www.bikedekho.com/avon/e-star/specifications","Rs.60,000*"
"1678098595-429","https://www.bikedekho.com/hayasa/nirbhar/specifications","Rs.65,550*"
"1678098597-430","https://www.bikedekho.com/dao/model-703/specifications","Rs.99,999*"
"1678098600-431","https://www.bikedekho.com/rbseva/legend/specifications","Rs.77,230*"
"1678098603-432","https://www.bikedekho.com/shema-e-vehicle/tuff/specifications","Rs.70,500*"
"1678098606-433","https://www.bikedekho.com/birla-e-bike/dms/specifications","Rs.1.63 - 2.31 Lakh*"
"1678098608-434","https://www.bikedekho.com/trinity-motors/sathi/specifications","Rs.85,999 - 93,999*"
"1678098611-435","https://www.bikedekho.com/shema-e-vehicle/shema-fly/specifications","Rs.61,000*"
"1678098613-436","https://www.bikedekho.com/dao/zor-405/specifications","Rs.77,349*"
"1678098616-437","https://www.bikedekho.com/igowise-mobility/beigo-x4/specifications","Rs.1.10 Lakh*"
"1678098618-438","https://www.bikedekho.com/m2go/x-1/specifications","Rs.1.11 Lakh*"
"1678098621-439","https://www.bikedekho.com/odysse-electric/e2go/specifications","Rs.59,750 - 71,100*"
"1678098624-440","https://www.bikedekho.com/gt-force/gt-one/specifications","Rs.62,850 - 85,945*"
"1678098627-441","https://www.bikedekho.com/joy-e/wolf/specifications","Rs.79,900*"
"1678098630-442","https://www.bikedekho.com/benling-india/kriti/specifications","Rs.64,151*"
"1678098632-443","https://www.bikedekho.com/okaya/faast-f2b/specifications","Rs.91,999*"
"1678098635-444","https://www.bikedekho.com/kabira-mobility/intercity-aeolus/specifications","Rs.71,490*"
"1678098637-445","https://www.bikedekho.com/ujaas-energy/ego/specifications","Rs.34,880 - 39,880*"
"1678098640-446","https://www.bikedekho.com/rbseva/rider-new/specifications","Rs.70,750*"
"1678098643-447","https://www.bikedekho.com/fidato-evtech/eaasygo-plus/specifications","Rs.95,605*"
"1678098645-448","https://www.bikedekho.com/shema-e-vehicle/shema-zoom/specifications","Rs.67,000*"
"1678098648-449","https://www.bikedekho.com/eeve/atreo/specifications","Rs.68,999*"
"1678098651-450","https://www.bikedekho.com/eeve/ahava/specifications","Rs.62,499*"
"1678098653-451","https://www.bikedekho.com/stella/sa2000/specifications","Rs.86,000 - 94,000*"
"1678098656-452","https://www.bikedekho.com/birla-e-bike/dmg/specifications","Rs.2.37 - 3.05 Lakh*"
"1678098658-453","https://www.bikedekho.com/velev-motors/vev-01/specifications","Rs.32,500*"
"1678098664-454","https://www.bikedekho.com/super-eco/t1/specifications","Rs.56,772*"
"1678098667-455","https://www.bikedekho.com/omega-seiki-mobility/sharq/specifications","Rs.75,600*"
"1678098669-456","https://www.bikedekho.com/one-moto/commuta/specifications","Rs.1.30 Lakh*"
"1678098672-457","https://www.bikedekho.com/shema-e-vehicle/shema-eagle/specifications","Rs.71,000 - 1.02 Lakh*"
"1678098675-458","https://www.bikedekho.com/birla-e-bike/jf/specifications","Rs.1.63 - 2.31 Lakh*"
"1678098677-459","https://www.bikedekho.com/earth-energy-ev/evolve-z/specifications","Rs.1.30 Lakh*"
"1678098680-460","https://www.bikedekho.com/cyborg/bob-e/specifications","Rs.94,999*"
"1678098682-461","https://www.bikedekho.com/hero-electric/atria/specifications","Rs.77,690*"
"1678098685-462","https://www.bikedekho.com/jitendra-ev/jmt-1000/specifications","Rs.84,417*"
"1678098688-463","https://www.bikedekho.com/crayon-motors/zeez/specifications","Rs.48,000 - 58,000*"
"1678098690-464","https://www.bikedekho.com/prevail-electric/elite/specifications","Rs.1.30 Lakh*"
"1678098693-465","https://www.bikedekho.com/birla-e-bike/birla-xl/specifications","Rs.1.52 Lakh*"
"1678098695-466","https://www.bikedekho.com/battre-electric-mobility/gpsie/specifications","Rs.73,900*"
"1678098698-467","https://www.bikedekho.com/benling-india/falcon/specifications","Rs.69,540*"
"1678098701-468","https://www.bikedekho.com/ujaas-energy/ego-li/specifications","Rs.50,880 - 53,880*"
"1678098703-469","https://www.bikedekho.com/gt-force/drive-plus/specifications","Rs.1.03 Lakh*"
"1678098706-470","https://www.bikedekho.com/battre-electric-mobility/storie/specifications","Rs.89,600*"
"1678098708-471","https://www.bikedekho.com/gemopai/ryder/specifications","Rs.60,000 - 84,302*"
"1678098711-472","https://www.bikedekho.com/viertric/mist/specifications","Rs.72,000*"
"1678098713-473","https://www.bikedekho.com/okaya/faast-f2f/specifications","Rs.83,999*"
"1678098716-474","https://www.bikedekho.com/birla-e-bike/electro/specifications","Rs.76,109 - 1.10 Lakh*"
"1678098718-475","https://www.bikedekho.com/birla-e-bike/v6/specifications","Rs.1.60 - 2.28 Lakh*"
"1678098721-476","https://www.bikedekho.com/komaki/xgt-cat-2/specifications","Rs.96,207 - 1.02 Lakh*"
"1678098724-477","https://www.bikedekho.com/deltic/legion/specifications","Rs.62,490 - 88,990*"
"1678098726-478","https://www.bikedekho.com/thunderboltev/thunderbolt-electra/specifications","Rs.79,999*"
"1678098728-479","https://www.bikedekho.com/gemopai/ryder-supermax/specifications","Rs.79,999*"
"1678098731-480","https://www.bikedekho.com/greta-electric/harper-zx-series-1/specifications","Rs.41,999*"
"1678098733-481","https://www.bikedekho.com/evolet/polo/specifications","Rs.69,999*"
"1678098736-482","https://www.bikedekho.com/ola-electric/s1-pro/specifications","Rs.1.05 Lakh*"
"1678098739-483","https://www.bikedekho.com/okaya/freedum/specifications","Rs.74,900*"
"1678098741-484","https://www.bikedekho.com/ampere/zeal-ex/specifications","Rs.75,000*"
"1678098744-485","https://www.bikedekho.com/grp-ev/11-mini/specifications","Rs.74,500*"
"1678098747-486","https://www.bikedekho.com/birla-e-bike/birla-spark/specifications","Rs.69,182 - 1.01 Lakh*"
"1678098749-487","https://www.bikedekho.com/grp-ev/11-maxx/specifications","Rs.82,000*"
"1678098752-488","https://www.bikedekho.com/stella/sa1000/specifications","Rs.68,000 - 75,000*"
"1678098755-489","https://www.bikedekho.com/fidato-evtech/loder/specifications","Rs.83,490*"
"1678098757-490","https://www.bikedekho.com/hero-electric/eddy/specifications","Rs.72,000*"
"1678098760-491","https://www.bikedekho.com/zelio/gracy-i/specifications","Rs.56,825 - 59,755*"
"1678098762-492","https://www.bikedekho.com/zelio/gracy/specifications","Rs.56,675 - 59,755*"
"1678098765-493","https://www.bikedekho.com/joy-e/gen-nxt-nanu-plus/specifications","Rs.1.12 Lakh*"
"1678098767-494","https://www.bikedekho.com/joy-e/wolfplus/specifications","Rs.1.16 Lakh*"
"1678098770-495","https://www.bikedekho.com/kabira-mobility/hermes-75/specifications","Rs.89,600*"
"1678098772-496","https://www.bikedekho.com/grp-ev/11-pro/specifications","Rs.84,000*"
"1678098775-497","https://www.bikedekho.com/kabira-mobility/kollegio-neo/specifications","Rs.55,790*"
