,product_name,price,price_low,price_high,0-100 Kmph (sec),0-40 Kmph (sec),ABS,ARAI Mileage,Acceleration (0-100 Kmph),Additional Features,Additional Features Of Variant,Additional Storage,Adjustable Windscreen,Anti Theft Alarm,Artificial Exhaust Sound System,Battery Capacity,Battery Type,Battery Warranty,Bluetooth Connectivity,Body Graphics,Body Type,Boot Space,Brakes Front,Brakes Rear,Braking (60-0 Kmph),Braking Type,Call/SMS Alerts,Carry Hook,Carry hook,Central Locking,Charger Output,Charging At Charging Station,Charging At Home,Charging Network / Battery Swapping Network,Charging Point,Charging Station Locater,Charging Time(0-100%),Charging Time(0-80%),Claimed Range,Clock,Continious Power,Continuous Power,Cooling System,Cruise Control,DRLs,Display,Distance to Empty Indicator,Drive Type,Dry Weight,EBS,Electricity Consumed On Full Charge,Engine Kill Switch,External Speakers,Fast Charging,Fast Charging Time,Frame,Front Brake Diameter,Front Tyre Pressure (Rider),Fuel Gauge,Gear Box,Geo Fencing,Gradeability,Ground Clearance,Headlight,Height,Ignition,Instrument Console,Internet Connectivity,Kerb Weight,Keyless Ignition,LED Tail Lights,Length,Load Carrying Capacity,Low Battery Indicator,Max Torque,Mobile Application,Motor IP Rating,Motor Power (w),Motor Type,Motor Warranty,Music Control,Navigation,No. Of Batteries,OTA,Odometer,Operating System,Paddle,Pass Switch,Passenger Backrest,Passenger Footrest,Peak Power,Power Modes,Processor,Projector Headlights,Radial Tyre,Range (Eco Mode),Range (Normal Mode),Range (Sport Mode),Real Time Mileage Indicator,Rear Brake Diameter,Rear Tyre Pressure (Rider),Regenerative Braking,Removable Battery Weight,Reverse Assist,Riding Modes,Roadside Assistance,Saddle Height,Scooter Speed,Seat Type,Service Due Indicator,Speedometer,Starting,Stepup Seat,Suspension Front,Suspension Rear,Swappable Battery,Tachometer,Tail Light,Techometer,Top Speed,Torque (Motor),Torque (Wheel),Total Weight,Transmission,Tripmeter,Tubeless Tyre,Turn Signal Lamp,Tyre Size,USB Charging Port,Underseat storage,Water Proof Rating,Wheel Size,Wheelbase,Wheels Type,Width
10,Revolt RV400,Rs.1.25 Lakh*,125000.0,125000.0,,,,,,"Ambient Light Sensor, Battery Status, Parking Signal, Locate my motorcycle","Ambient Light Sensor, Battery Status, Parking Signal, Locate my motorcycle",,,,Yes,3.24 KWh,Lithium-Ion,,"Bluetooth,WiFi",Yes,Electric Bikes,,Disc,Disc,,Combi Brake System,,,,,,,,,Yes,,4.5 Hours,0-75% in 3 Hours,150 km/charge,Yes,,,,,Yes,Yes,,Belt Drive,,,,,Yes,,,Lightweight Single cradle Frame,240 mm,,,,Yes,,215 mm,LED,,,Digital,Yes,108 kg,,Yes,,150 kg,Yes,170 Nm,Yes,,3000,Mid Drive,,,Yes,,,Digital,,,,,Yes,,,,Yes,,150 km/charge,100 km/charge,80 km/charge,,240 mm,,,,,Yes,,814 mm,,Split,,Digital,"Remote Start,Push Button Start",,Upside Down Forks,Monoshock(Adjustable),,,LED,,85 kmph,,,,Automatic,Digital,Tubeless,LED,"Front 90/80-17,	Rear 120/80-17",,,,"Front :-431.8 mm,Rear :-431.8 mm",1350 mm,Alloy,
11,Ather 450X,Rs.1.19 - 1.42 Lakh*,119000.0,142000.0,,3.3s,,,,"Top Speed (Display) - 90 km/charge, Warp Range - 65 km/charge, Riding Modes - Warp | Sport | Ride | Eco | Smart Eco, IP Rating (Controller) - IP65, Usable Battery Capacity - 3.24 kWh, Transmission Ratio - 7.8:1, Side Stand Motor cut-off, Water wading limit - 300 mm, ROM - 16 GB, RAM -  2 GB, Resolution - 800 X 480 Pixels, Brightness - 800 Nits, Aspect Ratio - 5:3, Themes, Positioning System - GNSS with AGPSM, 4G LTE, Auto Indicator Off, Guide Me Home Light, On Board Maps, Document Storage, Ride Statics, Remote Location Tracking, Remote Charge Monitoring, Pack Casing - Aluminum Alloy, Frame Materials - Aluminum and Steel, Pillio Grab Handle - Aluminium, Hill Assist - Auto Hold, F:R Weight Ratio - 53.3:58.3kg (48:52), Switches - Horn, Start, Indicator, Mode, High Beem, Motor Kill, Multi - Stop Trip Planner","Top Speed (Display) - 90 km/charge, Warp Range - 65 km/charge, Riding Modes - Warp | Sport | Ride | Eco | Smart Eco, IP Rating (Controller) - IP65, Usable Battery Capacity - 3.24 kWh, Transmission Ratio - 7.8:1, Side Stand Motor cut-off, Water wading limit - 300 mm, ROM - 16 GB, RAM -  2 GB, Resolution - 800 X 480 Pixels, Brightness - 800 Nits, Aspect Ratio - 5:3, Themes, Positioning System - GNSS with AGPSM, 4G LTE, Auto Indicator Off, Guide Me Home Light, On Board Maps, Document Storage, Ride Statics, Remote Location Tracking, Remote Charge Monitoring, Pack Casing - Aluminum Alloy, Frame Materials - Aluminum and Steel, Pillio Grab Handle - Aluminium, Hill Assist - Auto Hold, F:R Weight Ratio - 53.3:58.3kg (48:52), Switches - Horn, Start, Indicator, Mode, High Beem, Motor Kill, Multi - Stop Trip Planner",22 L,,,,3.7 kWh,Lithium-ion,3 Years,"Bluetooth,WiFi",,Electric Bikes,,Disc,Disc,28.6m,Combine Braking System,Yes,,,,,,,,Yes,,5 hours 40 minutes,4 hours 30 minutes,146 km/charge,Yes,3.3 kW,3.3 kW,,,,"7 inch TFT Touchscreen LCD, LED Backlit",,Belt Drive,,Yes,,,,Yes,,Precision machined hybrid chassis,200 mm,,,,,20º,153 mm,LED,1250 mm,,,Yes,111.6 kg,,Yes,1837 mm,,Yes,,Yes,IP 66,6200,PMSM,,Yes,Yes,,Yes,,Android OS,,,,Yes,,,Snapdragon 212,,,105 km/charge,85 km/charge,75 km/charge,,190 mm,,,,Yes,Yes,,780 mm,,Single,,Digital,Push Button Start,,Telescopic forks,Symmetrically mounted progressive monoshock,,,LED,,"90 kmph (Display), 80 kmph (Actual)",26 Nm,,,Automatic,Digital,Tubeless,LED,"Front :-90/90-12, 	Rear :-100/80-12",,22 L,IP67,"Front :-304.8 mm,Rear :-304.8 mm",1295 mm,Alloy,734 mm
12,TVS iQube Electric,Rs.1.61 - 1.61 Lakh*,161000.0,161000.0,,4.2s,,,,"Number Plate Lamp, Parking Assist, Live Location Status, Crash & Fall Alert, GSM Connectivity, Parking Brake Lever, BMS-Controlled Protection System, Spike Proctection, Resolution - 800 X 480 PPI, Brightness - 1000 LUX Dark Mode | Iincognito Mode, Flip Key with LED Light, Riding Modes - Eco | Power, Hazard Lamp, Cluster Themes, HMI, Document Storage","Number Plate Lamp, Parking Assist, Live Location Status, Crash & Fall Alert, GSM Connectivity, Parking Brake Lever, BMS-Controlled Protection System, Spike Proctection, Resolution - 800 X 480 PPI, Brightness - 1000 LUX Dark Mode | Iincognito Mode, Flip Key with LED Light, Riding Modes - Eco | Power, Hazard Lamp, Cluster Themes, HMI, Document Storage",17 L,,Yes,,4.56 kwh,Lithium Ion,,Bluetooth,,Electric Bikes,Yes,Disc,Drum,,,Yes,Front & Rear,Front & Rear,,"1500 W, 950 W",Yes,Yes,,Yes,,,4 Hours 6 Minutes,145 km/charge,Yes,3 KW,3 KW,,,Yes,7 Inch TFT,Yes,Hub Motor,,Yes,,,Yes,Yes,2 Hour 50 Min - 80%,Tubular Structure,220 mm,,,,Yes,10°,157 mm,LED,1140 mm,,Digital,,128 kg,,Yes,1805 mm,,Yes,,Yes,IP67,4400,BLDC,,Yes,Yes,,Yes,,,,,,Yes,,,,,,145 km/charge,,110 km/charge,Yes,130 mm,,,,Yes,Yes,,770 mm,,Single,Yes,Digital,Push Button Start,,Telescopic,Adjustable Hydraulic Twin Tube Shock Absorber,,,LED,,82 kmph,33 Nm,140 Nm,,Automatic,Digital,Tubeless,LED,Front :-90/90-12	Rear :-90/90-12,Yes,17 L,IP67 (Battery),"Front :-304.8 mm,Rear :-304.8 mm",1301 mm,Alloy,645 mm
13,Ola S1,Rs.1.33 Lakh*,133000.0,133000.0,,3.8s,,,,"Drive Modes - Normal | Sports | Eco, Charger Capacity - 750 W, Seat Length - 738 mm, Remote Boot Lock, Predictive Maintenance, Key Sharing, 3 GB RAM, LTE Connectivity","Drive Modes - Normal | Sports | Eco, Charger Capacity - 750 W, Seat Length - 738 mm, Remote Boot Lock, Predictive Maintenance, Key Sharing, 3 GB RAM, LTE Connectivity",36 L,,Yes,,3 kWh,,,"Bluetooth,WiFi",,Electric Bikes,Yes,Disc,Disc,,Combine Braking System,Yes,,,,750 kw,,,,Yes,,,,128 km/charge,Yes,5.5 kw,5.5 kw,,,,,,Belt Drive,,,,,Yes,Yes,,Tubular,220 mm,,,,Yes,15°,165 mm,LED,1160 mm,,Digital,Yes,121 kg,,,1859 mm,,Yes,,Yes,,8500,Mid Drive IPM,,Yes,Yes,,Yes,,MoveOS 2,,,,Yes,,,,,,141 km/charge,,,,180 mm,,,,Yes,Yes,,792 mm,high,Single,,Digital,"Remote Start,Push Button Start",,Single Fork,Mono Shock,,,LED,,95 kmph,58 Nm,,,Automatic,Digital,Tubeless,LED,"Front :- 110/70-12, 	Rear :- 110/70-12",,36 L,IP67,"Front :-304.8 mm,Rear :-304.8 mm",1359 mm,Aluminium Alloy,712 mm
14,Vida V1,Rs.1.28 - 1.39 Lakh*,128000.0,139000.0,,3.2s,,,,"Document Storage, Parking Assistance, Emergency Alert, Follow me headlamp, Riding Modes - Eco | Ride | Sports | Custom (100 + combinations), Vida Cloud, 4g Connectivity, Track My Bike, Remote Immobilisation, SOS Alert and Button, Vehicle Diagnostics, Electronic seat & handle lock, Two-Way-Throttle","Document Storage, Parking Assistance, Emergency Alert, Follow me headlamp, Riding Modes - Eco | Ride | Sports | Custom (100 + combinations), Vida Cloud, 4g Connectivity, Track My Bike, Remote Immobilisation, SOS Alert and Button, Vehicle Diagnostics, Electronic seat & handle lock, Two-Way-Throttle",26 L,,Yes,,3.94 kWh,,"3 Years, 30000 km","Bluetooth,WiFi",,Electric Bikes,,Disc,Drum,,Combi Brake System,Yes,,,,,,,,Yes,Yes,,5 Hours 55 Minutes,165 km/charge,Digital,3.9 kW,3.9 kW,,Yes,,"7 Inch, TFT, Touchscreen",,Hub Motor,,,,,,Yes,65 minutes ( 0-80 ),,,,,,Yes,20°,155 mm,LED,,,Digital,Yes,125 kg,Yes,Yes,,,Yes,25 Nm,Yes,IP68,6000,PMSM,,Yes,Yes,2,Yes,Digital,,,,,Yes,,,,Yes,,,,,,,,,,Yes,Yes,Yes,780 mm,high,Single,,Digital,"Remote Start,Push Button Start",,,,Yes,,LED,,80 kmph,,,,,Digital,Tubeless,LED,,Yes,26 L,IP67 ( Battery ),"Front :-304.8 mm,Rear :-304.8 mm",1301 mm,Alloy,
15,Okinawa Okhi90,Rs.1.86 Lakh*,186000.0,186000.0,,,,,,"E-ABS, Brake Lever - Aluminium Lever, Outer Appearance- Garnish  Chrome Plated, Parking Mode, Real-Time Asset Tracking, Find my device, Driver Behavior, Micro Charger with Auto Cut, ICAT/ARAI Approved - Yes","E-ABS, Brake Lever - Aluminium Lever, Outer Appearance- Garnish  Chrome Plated, Parking Mode, Real-Time Asset Tracking, Find my device, Driver Behavior, Micro Charger with Auto Cut, ICAT/ARAI Approved - Yes",40 L,,Yes,,3.6 kWh,Lithium Ion ( Detachable Battery ),,"Bluetooth,WiFi",,Electric Bikes,Yes,Disc,Disc,,Combine Braking System,Yes,,,,,,,,Yes,,,1 Hour,160 km/charge,Yes,,,,,Yes,Yes,,Hub Motor,,,,,,,,,,,,,,12°,175 mm,LED,1160 mm,,Digital,Yes,,,,2220 mm,250 kg,Yes,,Yes,IP65,3800,,,,Yes,,,Digital,,,,,Yes,,,,,,,,,,,,,,,,Yes,900 mm,,Single,,Digital,"Remote Start,Push Button Start",,Hydraulic Telescopic,Double shocker with dual tube technology,,,LED,,80-90 kmph,,,,Automatic,Digital,Tubeless,LED,Front :-100/80-16	Rear :-120/80,Yes,40 L,,"Front :-406.4 mm,Rear :-",1520 mm,Alloy,710 mm
16,Avon E Scoot,"Rs.45,000*",45000.0,45000.0,,,No,,,,,,,Yes,,48 V/20 Ah,VRLA,,,,Electric Bikes,,Drum,Drum,,,,,,,,No,No,,,,,,65 km/charge,,,,,,,,,Hub Motor,,,,,,,,,,,No,,,,,Halogen,,,,,,,,,120 Kg,Yes,,,,215,BLDC,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Single,,,Self Start Only,,,,,,Bulb,,24 kmph,,,,Automatic,,Tubeless,Bulb,"Front :-3.00-16,	Rear :-3.00-16",,,,"Front :-406.4 mm,Rear :-406.4 mm",,Alloy,
17,Kabira Mobility KM 3000,Rs.1.23 Lakh*,123000.0,123000.0,,3.1s,,,,,,,Yes,,,4.0 kWh,Lithium Ion,,,,Electric Bikes,,Disc,Disc,,Combi Brake System,,,,,,No,No,,Yes,,6 Hours 30 min,2 Hours 50 min,120 km/charge,Yes,6000 W,6000 W,,,,,,Hub Motor,,,,,,Yes,0-80 %  50 min,,,,,,,19°,170 mm,LED,1200 mm,,Digital,,112 kg,,,2100 mm,100 kg,,,Yes,IP67,3500,BLDC,,,,,,,,,,,Yes,,,,,,120 km/charge,95 km/charge,60 km/charge,,,,,,,,,830 mm,,Split,,Digital,Push Button Start,,Spring Loaded Hydraulic,,,,LED,,100 kmph,,,,,Digital,Tubeless,LED,,,,IP65,,1430 mm,Alloy,760 mm
18,Avon E Plus,"Rs.25,000*",25000.0,25000.0,,,No,,,,,,,,,48 V/12 Ah,VRLA,,,,"Electric Bikes, Moped Bikes",,Drum,Drum,,,,,,,,No,No,,,,,,50 km/charge,,,,,Yes,,,,Hub Motor,,,,,,,,,,,No,,,,,Halogen,,,,,,,,,80 Kg,,,,,220,BLDC,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Single,,,Self Start Only,,,,,,Bulb,,24 kmph,,,,Automatic,,Tube,Bulb,"Front :-2.125-18,	Rear :-2.125-18",,,,"Front :-457.2 mm,Rear :-457.2 mm",,Alloy,
19,Hero Electric Photon,"Rs.86,390*",86390.0,86390.0,,,No,,,"Aerodynamic Style, PC Head Lamp, Charge(IP 65 Fan cooled )12v * 6, Regenerative Braking","Aerodynamic Style, PC Head Lamp, Charge(IP 65 Fan cooled )12v * 6, Regenerative Braking",,,Yes,,72 V/20 Ah,Li-ion,,,,Electric Bikes,,Drum,Drum,,Combi Brake System,,,,,,No,No,,Yes,,,,60 km/charge,,,,,,,,,,,,,,,,,,,,,CVT,,,130 mm,Bulb,,,Digital,,116 kg,,,,,Yes,,,,1000-1400 W,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,Self Start Only,With Long Seat,Telescopic,,,,Bulb,,45 kmph,,,,Automatic,,Tube,Bulb,Front :-3.00-10	Rear :-3.00-10,,,,"Front :-254 mm,Rear :-254 mm",,Steel,
20,PURE EV EcoDryft,Rs.1.15 Lakh*,114999.99999999999,114999.99999999999,,5s,,,,"Controller - 60 V 3 Kw Vector Looped, BMW - Smart BMS Lithium Ion 16s 60V 60A, Center Stand, Drive Mode - 45 Kmph, Cross Over Mode - 60 Kmph, Thrill Mode - 75 Kmph, Efficiency - 90%, Advanced TM, Can Communication","Controller - 60 V 3 Kw Vector Looped, BMW - Smart BMS Lithium Ion 16s 60V 60A, Center Stand, Drive Mode - 45 Kmph, Cross Over Mode - 60 Kmph, Thrill Mode - 75 Kmph, Efficiency - 90%, Advanced TM, Can Communication",,,Yes,,3 kWh,Lithium-Ion,,,,"Electric Bikes, Commuter Bikes",,Disc,Drum,,,,,,Yes,60 V 10 A,,,,,,6 Hours,,80 - 130 km/charge,Yes,2.0 kw,2.0 kw,,,,17.78 CM LED,,Hub Motor,251 kg,Yes,,,,,,,220 mm,33 PSI,,,,12 Degrees,200 mm,LED,1115 mm,,Digital,,101 kg,,,1870 mm,140 kg,,,,,3000,,,,,,,Digital,,,,,Yes,,,,,,,,,,130 mm,35 PSI,,,,,,,,Single,,Digital,"Remote Start,Push Button Start",,Telescopic Dual Suspension,Coiled Spring Dual Suspension,,,LED,,75 kmph,40 Nm,,,,,Tubeless,LED,"Front :-80/100-18,	Rear :- 80/100-17",,,,"Front :-457.2 mm,Rear :-431.8 mm",1235 mm,Alloy,760 mm
21,One Electric Motorcycles Kridn,Rs.1.35 Lakh*,135000.0,135000.0,,,,,,GPS/App Connect-Optional,GPS/App Connect-Optional,,,,,3 kWh,Lithium Ion,,,,Electric Bikes,,Disc,Disc,,Combi Brake System,,,,,,,,,,,,,110+ km/charge,,,,,,Yes,Yes,,,,,,,,,,,240 mm,,,,,,,Halogen,,,Digital,,,,,,,,160+ Nm,,,5500,,,,,,,Digital,,,,,,,,,,,110+ km/charge,80 km/charge,,,220 mm,,,,,,,,,Single,,Digital,Push Button Start,,Telescopic Hydrolic,Hydraulic,,,Bulb,,95 kmph,,,,,,,,"Front :-80/100-17,	Rear :- 120/80-16",,,,"Front :-431.8 mm,Rear :-406.4 mm",,Alloy,
22,Okinawa R30,"Rs.61,998*",61998.0,61998.0,,,,,,"Detachable Battery, E-ABS, Micro- Charger with Auto Cut Function, ARAI/ICAT Approved, Brake Lever - Aluminium Alloy, Climbing - 25 kmph","Detachable Battery, E-ABS, Micro- Charger with Auto Cut Function, ARAI/ICAT Approved, Brake Lever - Aluminium Alloy, Climbing - 25 kmph",,,,,1.25 KWH,Lithium-Ion,,,,Electric Bikes,,Drum,Drum,,,,,,,,,,,,,,,60 km/charge,,250 W,250 W,,,,Yes,,Hub Motor,,Yes,,,,,,,,,,,,,160 mm,LED,1080 mm,,Digital,,,,,1725 mm,150 kg,Yes,,,,250,BLDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,735 mm,,Single,,Digital,Push Button Start,,Hydraulic Telescopic,Double Shocker with dual tube technology,,,LED,,25 kmph,,,,Automatic,Digital,Tubeless,LED,"Front :-3.00  10,	Rear :- 3.00  10",,,,"Front :-254 mm,Rear :-254 mm",,Alloy,695 mm
23,Okinawa iPraise+,Rs.1.46 Lakh*,146000.0,146000.0,,,,,,"Road Side Assistance, ARAI/ICAT Approved, Micro- Charger with Auto Cut Function, E-ABS (Electronic- Assisted Braking System), Brake Lever - CNC Machined with Lever Adjustment","Road Side Assistance, ARAI/ICAT Approved, Micro- Charger with Auto Cut Function, E-ABS (Electronic- Assisted Braking System), Brake Lever - CNC Machined with Lever Adjustment",,,Yes,,3.3 KWH,Lithium Ion,,,Yes,Electric Bikes,,Disc,Disc,,,,,,,,,,,Yes,,,,139 km/charge,Digital,1000,1000,,,Yes,Yes,,Belt Drive,,Yes,,,,,,,,,Digital,,,7°,175 mm,LED,1165 mm,,Digital,,,,,1970 mm,150 kg,Yes,,Yes,IP65,2500,BLDC,,,Yes,,,,,,,,Yes,,,,,Yes,,139 km/Charge,,,,,,,,,,800 mm,,Single,,Digital,"Remote Start,Push Button Start",,Hydraulic Telescopic,Double shocker with dual tube technology,,,LED,,58 kmph,,,,Automatic,Digital,Tubeless,LED,Front :-90/90-12	Rear :-90/90-12,,,,"Front :-304.8 mm,Rear :-304.8 mm",,Alloy,745 mm
24,Hero Electric NYX,"Rs.73,590 - 86,540*",73590.0,86540.0,,,,,,"Double Battery, Fancooled Charger, PC Head Lamp, Regenerative Braking, 2 Batteries","Double Battery, Fancooled Charger, PC Head Lamp, Regenerative Braking, 2 Batteries",,,,,48 V/56 Ah,Lithium-Ion,,,,Electric Bikes,,Drum,Drum,,Combi Brake System,,,,,,No,No,,No,,,,100 km/charge,,,,,,,,,Hub Motor,,,,,,,,,,,,CVT,,,141 mm,LED,,,Digital,,87 kg,,,,,Yes,,,,600 - 1300 W,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,Self Start Only,,Telescopic,,,,Bulb,,42 kmph,,,,Automatic,,Tube,Bulb,Front :-3.00-10	Rear :-3.00-10,,,,"Front :-254 mm,Rear :-254 mm",,Alloy,
25,Odysse Electric Evoqis,Rs.1.71 Lakh*,171000.0,171000.0,,,,,,"Drive Modes - City | Parking | Sports | Reverse, Motor cut-off switch","Drive Modes - City | Parking | Sports | Reverse, Motor cut-off switch",,Yes,Yes,,4.32 kWh,Lithium-Ion,,,Yes,Electric Bikes,,Disc,Disc,,,,,,,,,,,,,,,,Yes,4300 W,4300 W,,,,Yes,,Hub Motor,,,,,,,,,,,,,,,170 mm,LED,1150 mm,,Digital,,,,,2060 mm,170 kg,Yes,,,,3000,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,750 mm,,Split,,Digital,"Remote Start,Push Button Start",,Telescopic,Spring Suspension,,,LED,,80 kmph,64 Nm,,150 kg,,Digital,Tubeless,LED,"Front :-110/70-17,	Rear :- 140/70-17",,,,"Front :-431.8 mm,Rear :-431.8 mm",1410 mm,Alloy,740 mm
26,Kinetic Green Zing,"Rs.71,500 - 84,990*",71500.0,84990.0,,,,,,"DETACHABLE BATTERY,  CHAGRER -10AMP,","DETACHABLE BATTERY,  CHAGRER -10AMP,",Yes,,,,60 V / 28 Ah,Lithium Ion,,,,Electric Bikes,,Disc,Disc,,,,,,Yes,,,,,Yes,,,,100 km/charge,,,,,,,,,Hub Drive,,,,,,,,,,,,,,10°,160 mm,LED,,,,,,,,,150 kg,Yes,,,,250,BLDC,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Single,,Digital,"Remote Start,Push Button Start",,TELESCOPIC,SPRING WITH 3 TIMES ADJUSTABLE,,,LED,,45 kmph,,,,,,Tubeless,LED,Front :-100/90 - 10	Rear :-100/90 10,Yes,Yes,,"Front :-254 mm,Rear :-254 mm",,ALLOY,
27,Ampere Primus,Rs.1.10 Lakh*,110000.00000000001,110000.00000000001,,4.2s,,,,"Driving Mode - ECO | CITY | PWR | REVERSE, Side Stand Sensor, Road Side Assistance","Driving Mode - ECO | CITY | PWR | REVERSE, Side Stand Sensor, Road Side Assistance",22 L,,,,3.8 Kwh,LFP,,Bluetooth,,Electric Bikes,,Drum,Drum,,Combi Brake System,,,,,,,,,,,,,107 km/charge,Yes,,,,,,,,Mid Mount Motor,,,,,,,,,,,,,,7°,,LED,1133 mm,,Digital,,130 kg,,,1910 mm,150 kg,Yes,,,,3400 / 4000,,,,Yes,,,Digital,,,,,,,,,,,,,,,,,,,Yes,,,,,Single,,Digital,,,Hydraulic Telescopic,Dual shocker,,,Bulb,,77 kmph,,,,,Digital,Tubeless,Bulb,,Yes,22 L,,"Front :-304.8 mm,Rear :-304.8 mm",1400 mm,Alloy,705 mm
28,Kinetic Green Zoom,"Rs.75,100 - 82,500*",75100.0,82500.0,,,,,,"CHAGRER- 10AMP, DETACHABLE BATTERY","CHAGRER- 10AMP, DETACHABLE BATTERY",Yes,,,,60 V / 28 Ah,Lithium Ion,,,,Electric Bikes,Yes,Disc,Disc,,,,,,Yes,,,,,Yes,,,,100 km/charge,,,,,,,,,Hub Motor,,,,,,,,,,,,,,10°,160 mm,LED`,,,,,,,,,150 kg,Yes,,,,250,BLDC,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Single,,Digital,"Remote Start,Push Button Start",,TELESCOPIC,SPRING WITH 5 TIMES ADJUSTABLE,,,LED,,40 kmph,,,,,,Tubeless,LED,Front :-100/90 - 10	Rear :-100/90 10,Yes,Yes,,"Front :-254 mm,Rear :-254 mm",,ALLOY,
29,Okinawa PraisePro,"Rs.99,645*",99645.0,99645.0,,,,,,"E-ABS, Micro- Charger with Auto Cut Function, ARAI/ICAT Approved, Road Side Assistance, Brake Lever - CNC Machined with Lever Adjustment","E-ABS, Micro- Charger with Auto Cut Function, ARAI/ICAT Approved, Road Side Assistance, Brake Lever - CNC Machined with Lever Adjustment",,,Yes,,2.0 kWh,Lithium Ion,3 Years,,Stylish Graphics,Electric Bikes,Yes,Disc,Disc,,,,,,Yes,,,,,Yes,,,,88 km/charge,,1000 W,1000 W,,,Yes,,,Hub Motor,,Yes,,,,,,,,,,,,7°,175 mm,LED,1165 mm,,Digital,,,,Yes,1970 mm,150 kg,Yes,,,,2500,BLDC,3 Years - 30000 km,,,,,,,,Yes,,Yes,,,,,,,,88 km/charge,,,,,,,,Yes,800 mm,,Single,,Digital,"Remote Start,Push Button Start",,Hydraulic Telescopic,Double shocker with dual tube technology,,,LED,,58 kmph,,,,Automatic,Digital,Tubeless,LED,Front :-90/90-12	Rear :-90/90-12,,,,"Front :-304.8 mm,Rear :-304.8 mm",,Alloy,745 mm
30,Birla Quanto,"Rs.69,182 - 1.01 Lakh*",69182.0,101000.0,,,,,,ICAT Approval - Yes,ICAT Approval - Yes,Yes,,Yes,,35 Ah,Lithium Ion,,,,Electric Bikes,Yes,Disc,Disc,,,,,,Yes,5 Amp,,,,,,,,,,,,,,,,,Hub Motor,,,,,,,,,,,,,,,,,,,Digital,,,,,1810 mm,,,,,,,BLDC,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,Hydraulic,Hydraulic,Yes,,,,,,,,Automatic,Digital,Tubeless,,Front :-3.00-10	Rear :-3.00-10,Yes,Yes,,"Front :-254 mm,Rear :-254 mm",,Alloy,700 mm
31,Okaya Faast F2T,"Rs.84,999*",84999.0,84999.0,,,,,,"Energy - 2.2 KWh, Drive Modes - Eco / City / Sports, Wheels Lock, Parking Mode With Lever, Hazard Lighting","Energy - 2.2 KWh, Drive Modes - Eco / City / Sports, Wheels Lock, Parking Mode With Lever, Hazard Lighting",,,,,72 V / 30 Ah,Lithium Ferrous Phosphate,,,,Electric Bikes,,Drum,Drum,,Combi Brake System,,,,,,,,,,,,,80 - 85 Km/charge,Yes,250 W,250 W,,,Yes,Yes,,Hub Motor,,Yes,,,,Yes,,,130 mm,,,,,,,LED,,,Digital,,,,,,,Yes,,,,1200 W,BLDC,,,,,,Digital,,,,,Yes,,,,,,,,,,110 mm,,,,Yes,Yes,,,,Single,,Digital,"Remote Start,Push Button Start",,Telescopic,Dual Spring Loaded,,,LED,,70 kmph,,,,Automatic,Digital,Tubeless,LED,,,,,"Front :-304.8 mm,	Rear :-304.8 mm",,,
32,Birla E-Smart,"Rs.71,780 - 1.04 Lakh*",71780.0,104000.0,,,,,,ICAT Approval - Yes,ICAT Approval - Yes,Yes,,Yes,,35 Ah,Lithium Ion,,,,Electric Bikes,Yes,Disc,Disc,,,,,,Yes,5 Amp,,,,,,,,,,,,,,,,,Hub Motor,,,,,,,,,,,,,,,,LED,,,Digital,,,,,1810 mm,,,,,,,BLDC,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,Hydraulic,Hydraulic,Yes,,LED,,,,,,Automatic,Digital,Tubeless,LED,Front :-3.00-10	Rear :-3.00-10,Yes,Yes,,"Front :-254 mm,Rear :-254 mm",,Alloy,700 mm
33,Lohia Oma Star,"Rs.41,444*",41444.0,41444.0,,,,,,,,,,,,48V/20 Ah,VRLA,,,,Electric Bikes,,Drum,Drum,,,,,,,,No,No,,,,,,60 km/charge,,,,,,,,,Hub Motor,,,,,,,,,80 mm,,,,,,,Halogen,1030 mm,,,,,,,1800 mm,,Yes,,,,250,BLDC,,,,,,,,,Yes,,,,,,,Yes,,,,,110 mm,,,,,,,,,Single,,Digital,Self Start Only,,Telescopic,,,,Bulb,,25 kmph,,,,Automatic,,Tube,Bulb,"Front :-3.00-16,	Rear :-3.00-16",,,,"Front :-406.4 mm,Rear :-406.4 mm",,Alloy,650 mm
